OBJECTID,UNIQUEID,WORK_TYPE,WORK_SUBTYPE,DISPLAY_AGENCY,NUMBER_KEY,COMP_TYPE,COMP_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,STREET_NO,ADDR_FRACTION,STREET_DIRECTION,STREET_NAME,CITY_ID,X_COORD,Y_COORD,WFDB,URL,LAST_UPDATED,YN_ACTIVITY_REPORT,SE_ANNO_CAD_DATA,NEIGHBORHOOD,
7244387,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSC2307103,CDPSCODE,Trash/Litter/Tall Grass Complaint,TLGR-PRV,Tall grass/weeds private prop,7/12/2023,CITATION,Citation Issued,OPEN,217,    ,  ,FINDLAY ST                      ,CINC        ,1395169,412898,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSC2307103,7/23/2023,Y,,,
7199232,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSA2301127,CDPSCLN ,Trash/Litter/Tall Grass Cleaning,LITR-PRV,Litter private property,7/16/2023,NEW     ,New,OPEN,101,    ,  ,GLENRIDGE PL                    ,CINC        ,1400619,426952,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSA2301127,7/20/2023,Y,,,
7199253,,CODE ENF / INSPECTION,Building Enforcement,Cincinnati Health Dept,CHCE232267,CHENCODE,Health Environmental Code Enforcement,ROACHES ,Roaches - bldg or apartment,7/16/2023,ORDERS1 ,Orders Issued,OPEN,5465,    ,  ,KIRBY AV                        ,CINC        ,1382710,440753,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=CHCE232267,7/25/2023,Y,,,
7245556,,CODE ENFORCEMENT,Vacated and Condemned Buildings,Cincinnati Buildings and Inspections,BC20230213,CBHCODEC,Code Enforcement - Commercial Buildings,VACANT  ,VACANT COMM BLDG-BARRC,3/23/2023,ORDERS  ,Orders Issued,OPEN,2181,    ,  ,GRAND AV                        ,CINC        ,1385753,415596,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=BC20230213,7/26/2023,Y,,,
7245562,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202301974,CBHCODE ,Code Enforcement - Buildings with Residences,TREE_S  ,TREE ON PRIV PROP STANDARD,3/23/2023,CLOSED  ,Closed,OPEN,3255,    ,  ,GILBERT AV                      ,CINC        ,1407940,420389,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202301974,7/23/2023,Y,,,
7171754,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202300056,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,1/2/2023,CLOSED  ,Closed,OPEN,6005,    ,  ,MEYERS DR                       ,CINC        ,1407053,449967,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202300056,7/20/2023,Y,,,
7171777,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202300058,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,1/2/2023,CLOSED  ,Closed,OPEN,416,    ,W ,9TH ST                          ,CINC        ,1394917,408664,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202300058,7/20/2023,Y,,,
7171779,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202300059,CBHCODE ,Code Enforcement - Buildings with Residences,TREE_S  ,TREE ON PRIV PROP STANDARD,1/2/2023,CLOSED  ,Closed,OPEN,705,    ,  ,GRAND AV                        ,CINC        ,1383500,408727,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202300059,7/20/2023,Y,,,
7247781,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202302745,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,4/24/2023,CIVIL1  ,Civil Citation Issued - Level 1,OPEN,200,    ,W ,GALBRAITH RD                    ,CINC        ,1406760,448392,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202302745,7/23/2023,Y,,,
7247789,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSC2303119,CDPSCODE,Trash/Litter/Tall Grass Complaint,TLGR-PRV,Tall grass/weeds private prop,4/24/2023,REFABAND,Refer to Abandoned Property Program,OPEN,1942,    ,  ,QUEBEC RD                       ,CINC        ,1381513,414929,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSC2303119,7/23/2023,Y,,,
